date anger disgust fear happy sad suprise
2011/07/29 13 69 13 615 15 32 
2011/07/30 2 37 8 580 10 20 
2011/07/31 0 36 7 315 8 16 
2011/08/01 7 42 10 457 58 38 
2011/08/02 11 26 80 535 57 28 
2011/08/03 16 40 11 524 8 25 
2011/08/04 12 34 11 586 17 22 
2011/08/05 31 20 11 583 17 59 
2011/08/06 8 30 5 577 10 15 
2011/08/07 11 14 4 265 7 18 
2011/08/08 7 29 17 359 13 27 
2011/08/09 5 17 14 322 11 34 
2011/08/10 10 47 13 374 25 67 
2011/08/11 11 25 23 469 15 77 
2011/08/12 17 39 11 544 18 60 
2011/08/13 7 42 8 391 10 45 
2011/08/14 7 36 14 241 7 43 
2011/08/15 7 40 13 393 15 33 
2011/08/16 10 51 5 393 24 40 
2011/08/17 11 50 10 320 14 95 
2011/08/18 4 48 4 461 13 52 
2011/08/19 18 45 7 435 14 29 
2011/08/20 7 25 1 504 8 26 
2011/08/21 10 20 9 233 7 22 
2011/08/22 8 31 80 286 16 40 
2011/08/23 5 28 9 349 10 41 
2011/08/24 7 27 48 527 13 26 
2011/08/25 7 30 43 431 14 56 
2011/08/26 4 32 12 556 10 53 
2011/08/27 4 16 9 494 13 41 
2011/08/28 9 29 11 279 10 33 
2011/08/29 10 28 14 298 11 78 
2011/08/30 7 32 55 243 15 93 
2011/08/31 7 31 11 285 10 82 
2011/09/01 8 29 15 301 8 84 
2011/09/02 7 38 20 665 26 67 
2011/09/03 0 22 4 485 8 69 
2011/09/04 1 14 3 331 106 86 
2011/09/05 6 20 12 542 16 98 
2011/09/06 7 24 26 341 20 62 
2011/09/07 4 28 20 427 11 68 
2011/09/08 1 29 32 361 22 92 
2011/09/09 8 50 17 616 20 156 
2011/09/10 3 12 13 507 12 256 
2011/09/11 6 16 60 333 13 229 
2011/09/12 6 20 5 460 18 226 
2011/09/13 11 26 9 291 20 310 
2011/09/14 32 24 21 360 12 445 
2011/09/15 65 22 28 375 9 444 
2011/09/16 7 26 20 1382 10 345 
2011/09/17 9 59 15 453 12 300 
2011/09/18 10 52 15 294 55 241 
2011/09/19 7 82 22 360 22 296 
2011/09/20 14 101 10 498 17 308 
2011/09/21 4 132 15 554 22 309 
2011/09/22 15 109 35 495 15 450 
2011/09/23 18 90 17 474 25 415 
2011/09/24 4 41 8 445 9 338 
2011/09/25 8 46 26 413 14 271 
2011/09/26 5 42 11 432 23 300 
2011/09/27 9 54 11 435 17 419 
2011/09/28 11 53 30 424 11 463 
2011/09/29 12 59 14 480 12 595 
2011/09/30 23 32 16 402 12 423 
2011/10/01 8 18 8 289 6 180 
2011/10/02 2 44 7 250 5 217 
2011/10/03 6 49 6 258 8 149 
2011/10/04 4 45 5 274 12 149 
2011/10/05 2 34 6 199 14 139 
2011/10/06 5 49 2 290 13 141 
2011/10/07 4 31 5 323 19 153 
2011/10/08 6 25 12 355 13 111 
2011/10/09 5 27 10 303 24 100 
2011/10/10 3 34 21 388 16 106 
2011/10/11 13 35 30 463 26 116 
2011/10/12 12 35 19 321 21 110 
2011/10/13 12 56 14 464 20 111 
2011/10/14 13 27 18 434 18 78 
2011/10/15 3 16 10 472 13 39 
2011/10/16 5 16 52 271 10 65 
2011/10/17 13 21 20 482 15 65 
2011/10/18 12 12 11 450 18 74 
2011/10/19 3 29 9 425 6 71 
2011/10/20 9 21 17 460 12 58 
2011/10/21 5 20 88 1725 57 91 
2011/10/22 10 18 5 512 8 103 
2011/10/23 3 16 8 362 10 101 
2011/10/24 3 20 10 472 17 124 
2011/10/25 30 28 15 463 12 110 
2011/10/26 30 16 12 467 16 131 
2011/10/27 14 26 13 482 10 127 
2011/10/28 9 31 10 562 23 115 
2011/10/29 3 10 8 457 13 70 
2011/10/30 5 31 9 393 6 96 
2011/10/31 6 15 10 461 19 87 
2011/11/01 10 31 57 542 27 80 
2011/11/02 57 28 7 551 53 72 
2011/11/03 8 33 6 693 27 63 
2011/11/04 6 34 7 476 18 66 
2011/11/05 1 32 8 417 19 55 
2011/11/06 4 18 6 324 11 58 
2011/11/07 6 41 5 633 18 58 
2011/11/08 6 28 5 599 12 43 
2011/11/09 8 25 9 616 21 50 
2011/11/10 4 17 15 704 17 46 
2011/11/11 6 23 8 882 25 81 
2011/11/12 2 22 10 505 10 49 
2011/11/13 5 17 6 371 16 104 
2011/11/14 5 26 78 1116 31 61 
2011/11/15 6 26 19 1101 17 61 
2011/11/16 4 29 12 686 25 30 
2011/11/17 12 37 10 765 26 51 
2011/11/18 8 32 18 1102 21 35 
2011/11/19 1 18 8 796 30 43 
2011/11/20 3 29 5 589 12 47 
2011/11/21 9 22 16 1075 13 45 
2011/11/22 16 19 11 1234 20 48 
2011/11/23 17 27 22 770 79 46 
